,collocation,translate
0,the,这个
1,be,是
2,and,和
3,of,的
4,a,一个
5,in,在……里面
6,to,至
7,have,有
8,to,至
9,it,它
10,i,我
11,that,那
12,for,为
13,you,你
14,he,他
15,with,与.一起
16,on,在……上面
17,do,做
18,say,说
19,this,这
20,they,他们
21,at,在…
22,but,但
23,we,我们
24,his,他的
25,from,从…
26,that,那
27,not,不
28,n't,不是
29,by,通过
30,she,她
31,or,或
32,as,AS
33,what,什么
34,go,去
35,their,他们的
36,can,能
37,who,谁
38,get,到达
39,if,如果
40,would,会不会
41,her,她
42,all,全
43,my,我的
44,make,制作
45,about,约
46,know,知道
47,will,将要
48,as,AS
49,up,向上
50,one,一
51,time,时差
52,there,那里
53,year,年
54,so,所以
55,think,想
56,when,什么时候
57,which,哪一个
58,them,他们
59,some,一些
60,me,我
61,people,人民
62,take,拿走
63,out,输出
64,into,转成
65,just,只是
66,see,看见
67,him,他
68,your,你的
69,come,来
70,could,能不能
71,now,现在
72,than,比
73,like,喜欢
74,other,其他
75,how,多么
76,then,然后
77,its,它的
78,our,我们的
79,two,二
80,more,更多
81,these,这些
82,want,想要
83,way,道路
84,look,看
85,first,第一
86,also,还有
87,new,新的
88,because,因为
89,day,天
90,more,更多
91,use,使用
92,no,不是的
93,man,男人
94,find,发现
95,here,这里
96,thing,一件事
97,give,给
98,many,许多
99,well,井
100,only,只是
101,those,那些
102,tell,告诉
103,one,一
104,very,非常
105,her,她
106,even,甚至
107,back,背
108,any,任何
109,good,好的
110,woman,女方
111,through,直通
112,us,我们
113,life,生活
114,child,孩子
115,there,那里
116,work,工作
117,down,向下
118,may,可能
119,after,之后
120,should,应该
121,call,打电话
122,world,世界
123,over,完毕
124,school,学校
125,still,仍在
126,try,试试看
127,in,在……里面
128,as,AS
129,last,最后的
130,ask,问
131,need,需要
132,too,太
133,feel,感觉
134,three,三
135,when,什么时候
136,state,状态
137,never,绝不可能
138,become,成为
139,between,在两者之间
140,high,高
141,something,某物
142,really,真的
143,most,多数
144,another,另一个
145,much,很多
146,family,家人
147,own,自己人
148,out,输出
149,leave,离开吧
150,put,放
151,old,年长的
152,while,而当
153,mean,中庸
154,on,在……上面
155,keep,保留
156,student,学生
157,why,为什么
158,let,让
159,great,太棒了
160,same,相同
161,big,大的
162,group,组
163,begin,开始
164,seem,看起来
165,country,国家/地区
166,help,帮助
167,talk,谈天说地
168,where,哪里
169,turn,转弯
170,problem,问题
171,every,每个
172,start,开始
173,hand,手
174,might,威力
175,american,美国
176,show,展示会
177,part,部分
178,about,约
179,against,反对
180,place,安放
181,over,完毕
182,such,是这样的
183,again,又一次
184,few,一些
185,case,大案
186,most,多数
187,week,星期
188,company,公司
189,where,哪里
190,system,系统
191,each,每一个
192,right,正确的
193,program,计划
194,hear,听见
195,so,所以
196,question,问题
197,during,在此期间
198,work,工作
199,play,玩
200,government,政府
201,run,跑
202,small,小的
203,number,数
204,off,关闭
205,always,始终
206,move,移动
207,like,喜欢
208,night,夜晚
209,live,活着
210,point,点
211,believe,相信
212,hold,握住
213,today,今天
214,bring,拿来
215,happen,发生
216,next,下一步
217,without,如果没有
218,before,在此之前
219,large,大额
220,all,全
221,million,百万
222,must,必须
223,home,家
224,under,在……下面
225,water,水
226,room,房间
227,write,写
228,mother,母亲
229,area,面积
230,national,全国
231,money,钱
232,story,故事
233,young,年青的
234,fact,事实
235,month,月份
236,different,不同
237,lot,地段
238,right,正确的
239,study,学习
240,book,书
241,eye,眼睛
242,job,工种
243,word,单词
244,though,不过，
245,business,生意场
246,four,四
247,issue,问题
248,side,侧面
249,kind,种类
250,head,头
251,far,远
252,black,黑色
253,long,长
254,both,两者都有
255,little,一点儿
256,house,房屋
257,yes,是
258,after,之后
259,since,因为
260,long,长
261,provide,提供
262,service,服务
263,around,在附近
264,friend,朋友
265,important,重要
266,father,父亲
267,sit,坐
268,away,离开
269,until,直到
270,power,权力
271,hour,小时
272,game,游戏
273,often,经常
274,yet,目前还没有
275,line,线
276,political,政治性
277,end,结束
278,among,其中
279,ever,永无
280,stand,站
281,bad,坏的
282,lose,输了
283,however,然而，
284,member,会员
285,pay,付钱
286,law,法律
287,meet,见面
288,car,小汽车
289,city,城市
290,almost,差不多了
291,include,包括
292,continue,继续
293,set,集
294,later,后来
295,community,社区
296,much,很多
297,name,名字
298,five,五
299,once,一次
300,white,白色
301,least,最少
302,president,总统
303,learn,学到
304,real,真实
305,change,变化
306,team,团队
307,minute,分钟
308,best,最好的
309,several,几个
310,idea,理念
311,kid,小孩儿
312,body,车身
313,information,信息
314,nothing,没什么
315,ago,在此之前
316,right,正确的
317,lead,铅
318,social,社交
319,understand,了解
320,whether,无论是
321,back,背
322,watch,观看
323,together,同舟共济
324,follow,关注
325,around,在附近
326,parent,父级
327,only,只是
328,stop,停
329,face,脸
330,anything,什么都行
331,create,创造
332,public,公众
333,already,已经
334,speak,说
335,others,其他
336,read,朗读
337,level,级别
338,allow,允许
339,add,添加
340,office,办公室
341,spend,花销
342,door,门
343,health,健康状况
344,person,人
345,art,艺术
346,sure,好的
347,such,是这样的
348,war,战事
349,history,历史
350,party,聚会
351,within,在
352,grow,增长
353,result,结果
354,open,打开
355,change,变化
356,morning,早上
357,walk,步行
358,reason,原因
